ZOBOO-蕾絲衫上衣寬鬆女裝長袖中長款雪紡襯衫-OB806
GIORDANO 女裝簡約素色魔鬼氈袖口連帽休閒外套 - 09 標誌黑色
GIORDANO 女裝簡約魔鬼氈袖口長版連帽休閒外套 - 59 柏樹綠
GIORDANO 女裝素色百搭彈力腰頭休閒九分褲-66 標誌海軍藍
【GIORDANO】女裝G-COOL涼感吸濕排汗圓領TEE(09標誌黑)
GIORDANO 女裝素色百搭彈力腰頭休閒九分褲-09 標誌黑
GIORDANO 女裝腰鬆緊修身休閒卡其褲 - 66 標誌海軍藍
高質感美國設計師品牌母女裝&姊妹裝-蝴蝶結洋裝 (大人款/小孩款) / (輕粉樣玫瑰/勃根地紅)
GIORDANO 女裝腰鬆緊修身休閒卡其褲 - 09 標誌黑
【菟絲花】大尺碼-11008韓版女裝荷葉邊風衣外套連衣裙（共二色）
GIORDANO 女裝腰鬆緊休閒七分寬褲-09 標誌黑色
GIORDANO 女裝抽繩鬆緊休閒九分束口褲 - 04 中藍條紋
GIORDANO 女裝簡約素色純棉半開襟長袖襯衫-02 皎雪白色
ART TYPE女裝 A2800 磨毛棉超手感休閒運動長褲(台灣製)-灰綠
GIORDANO 女裝中腰標準窄管休閒褲-09 經典黑
GIORDANO 女裝撞色內裡搖粒絨反光LOGO多口袋連帽外套-01 標誌黑色
GIORDANO 女裝素面純棉牛津紡襯衫-03 蘋果粉
穿女裝彈吉他的我差點露餡 1
GIORDANO 女裝腰鬆緊修身休閒卡其褲 - 90 牛津杏
ZOBOO-蕾絲衫上衣寬鬆女裝長袖中長款雪紡襯衫-OB807
高質感美國設計師品牌母女裝/姊妹裝-經典洋裝 (大人款/小孩款) / (茶色/皇家藍)
GIORDANO 女裝高腰復古修身小喇叭九分牛仔褲-71 深藍色
GIORDANO 女裝中腰標準窄管休閒褲-80 新薩哈拉
GIORDANO 女裝鬆緊抽繩牛仔休閒長褲 - 71 花紗藍
GIORDANO 女裝素面純棉牛津紡襯衫-07淡藍
GIORDANO 女裝簡約百搭圓領印花長袖T恤 - 22 標誌黑色
3570【菟絲花】大尺碼-韓版女裝修身長袖小西裝單扣外套（黑2XL）
GIORDANO 女裝腰鬆緊百搭彈性休閒褲-09 標誌黑
高質感美國設計師品牌母女裝/姊妹裝-羅納河上的星夜 (大人款/小孩款) / (夜空藍/奶油棕)
GIORDANO 女裝腰鬆緊修身休閒卡其褲 - 51 深苔蘚綠
ART TYPE女裝 R1901 柔軟短褲(台灣製)-藍
母女裝&姊妹裝-直條紋口袋洋裝 (大人款&小孩款) / (蔚藍/鵝黃)
ART TYPE女裝 1807 高級運動針織褲(台灣製)-粉桃
GIORDANO 女裝純棉下圓弧造型可捲袖牛仔襯衫-77 深靛藍/皎雪條紋色
女裝防虫防塵套 4件入
GIORDANO 女裝純棉雙口袋長版牛仔襯衫-72 淺藍色
【菟絲花】大尺碼-11037韓版加大碼女裝顯瘦碎花小衫上衣（藍色4XL）
ART TYPE女裝 A2800 磨毛棉超手感休閒運動長褲(台灣製)-黑
GIORDANO 女裝鬆緊抽繩牛仔休閒長褲 - 04 花紗黑
GIORDANO 女裝中腰標準窄管休閒褲-08 冷灰
G-Warmer 女裝彈力舒適 圓領保暖衣-55貝殼粉/潮灰
ART TYPE女裝 R1400 吸排加棉休閒短褲(台灣製)-藍
